,Date,Open,Close,High,Low,Volume
462,2022-06-14 14:12:00,22190.0,22220.71356952,22223.04841069,22189.38001337,9.07107289
461,2022-06-14 14:13:00,22221.0,22170.39126347,22222.0,22169.0,3.26203008
460,2022-06-14 14:14:00,22169.18589234,22212.0,22212.0,22159.09090909,7.23348585
459,2022-06-14 14:15:00,22210.0,22095.0,22210.0,22080.0,38.52860395
458,2022-06-14 14:16:00,22095.0,22139.0,22150.0,22087.0,5.96630131
457,2022-06-14 14:17:00,22153.0,22165.0,22190.34170896,22153.0,1.38322308
456,2022-06-14 14:18:00,22181.0,22187.70199545,22218.0,22181.0,6.54265713
455,2022-06-14 14:19:00,22185.0,22164.7657374,22220.0,22162.55826246,1.25782039
454,2022-06-14 14:20:00,22165.0,22070.0,22165.0,22070.0,4.52889963
453,2022-06-14 14:21:00,22068.85781558,22149.0,22149.0,22068.85781558,3.7566603
452,2022-06-14 14:22:00,22144.0,22162.0,22178.3189808,22133.0,6.49294596
451,2022-06-14 14:23:00,22161.0,22120.0,22168.0,22113.0,1.84834425
450,2022-06-14 14:24:00,22127.72091682,22102.0,22127.72091682,22102.0,7.67008813
449,2022-06-14 14:25:00,22100.09129787,22105.0,22130.12349238,22086.0,4.67429952
448,2022-06-14 14:26:00,22119.0,22150.99314277,22152.0,22092.0,1.43298794
447,2022-06-14 14:27:00,22151.81958398,22104.92308975,22160.15673851,22100.0,4.81137748
446,2022-06-14 14:28:00,22104.92308975,22120.0,22136.0,22104.92308975,10.7927347
445,2022-06-14 14:29:00,22120.0,22127.0,22148.0,22111.0,2.27939052
444,2022-06-14 14:30:00,22122.3244311,22036.0,22148.0,22029.0,9.97320972
443,2022-06-14 14:31:00,22035.75881376,22098.0,22098.0,22028.0,5.77431789
442,2022-06-14 14:32:00,22100.0,22109.0,22130.0,22074.23242147,108.19244926
441,2022-06-14 14:33:00,22116.03941849,22070.0,22116.03941849,22070.0,3.03245391
440,2022-06-14 14:34:00,22071.41764281,22161.0,22165.0,22071.41764281,1.79797069
439,2022-06-14 14:35:00,22153.22423155,22187.0,22215.0,22153.22423155,4.53631489
438,2022-06-14 14:36:00,22190.0,22234.0,22234.0,22190.0,2.2696594
437,2022-06-14 14:37:00,22235.0,22217.93695797,22239.0,22197.08972648,13.134605220000001
436,2022-06-14 14:38:00,22202.89628164,22196.04736491,22212.0,22187.70847231,2.17630485
435,2022-06-14 14:39:00,22213.0,22167.0,22215.53788216,22139.0,4.7933942
434,2022-06-14 14:40:00,22160.0,22200.0,22200.0,22158.0,49.44535313
433,2022-06-14 14:41:00,22200.0,22261.0,22271.0,22200.0,65.58788859
432,2022-06-14 14:42:00,22258.0,22198.0,22258.0,22171.02017735,9.0471588
431,2022-06-14 14:43:00,22180.0,22109.65793558,22180.0,22109.65793558,8.55762302
430,2022-06-14 14:44:00,22107.0,22161.39472766,22161.39472766,22088.0,0.48684383
429,2022-06-14 14:45:00,22165.00427129,22216.0,22227.96743666,22135.0,64.42395495
428,2022-06-14 14:46:00,22221.0,22300.0,22300.0,22212.0,15.7083267
427,2022-06-14 14:47:00,22300.0,22407.0,22440.0,22298.0,102.18824818
426,2022-06-14 14:48:00,22405.0,22441.0,22470.0,22394.0,12.08447678
425,2022-06-14 14:49:00,22451.0,22457.0,22462.0,22392.0,6.96435135
424,2022-06-14 14:50:00,22458.0,22496.16378176,22500.0,22422.0,8.45829227
423,2022-06-14 14:51:00,22499.0,22453.0,22526.0,22447.0,10.29309306
422,2022-06-14 14:52:00,22461.0,22532.0,22541.0,22411.0,45.43575608
421,2022-06-14 14:53:00,22533.0,22480.0,22550.0,22455.0,9.85897072
420,2022-06-14 14:54:00,22476.0,22386.0,22492.0,22368.35733517,10.43397626
419,2022-06-14 14:55:00,22396.0,22386.75121295,22427.0,22374.21144598,2.25855127
418,2022-06-14 14:56:00,22389.15309603,22406.0,22426.0,22389.15309603,3.93689914
417,2022-06-14 14:57:00,22419.17663448,22461.20958832,22461.20958832,22419.17663448,0.44998133
416,2022-06-14 14:58:00,22459.0,22466.27391345,22488.0,22440.0,11.65429843
415,2022-06-14 14:59:00,22466.27391345,22517.0,22517.0,22466.27391345,7.0299594
414,2022-06-14 15:00:00,22518.28777731,22507.0,22521.0,22469.61617908,4.72149241
413,2022-06-14 15:01:00,22511.0,22557.0,22569.0,22511.0,3.10542782
412,2022-06-14 15:02:00,22557.0,22731.0,22731.0,22557.0,65.33533033
411,2022-06-14 15:03:00,22734.0,22676.0,22763.0,22666.0,12.80878911
410,2022-06-14 15:04:00,22683.38377288,22634.0,22716.0,22630.0,11.11168519
409,2022-06-14 15:05:00,22646.0,22661.01218076,22673.0,22597.79468351,11.63454221
408,2022-06-14 15:06:00,22656.0,22627.0,22661.48104749,22594.32536912,6.26557895
407,2022-06-14 15:07:00,22625.08243172,22622.0,22625.08243172,22576.0,12.77222373
406,2022-06-14 15:08:00,22622.85394504,22613.0810349,22673.0,22613.0810349,10.48624436
405,2022-06-14 15:09:00,22612.0,22591.0,22620.62545836,22577.0,9.15034312
404,2022-06-14 15:10:00,22599.77290887,22556.81403757,22608.91310917,22556.74217354,4.85674683
403,2022-06-14 15:11:00,22561.0,22584.0,22586.0,22549.52016755,3.01910964
402,2022-06-14 15:12:00,22576.0,22562.68480469,22576.0,22555.0,0.62289834
401,2022-06-14 15:13:00,22558.0,22608.0,22629.75273781,22558.0,2.38606745
400,2022-06-14 15:14:00,22599.0,22536.0,22610.0,22534.0,4.17929939
399,2022-06-14 15:15:00,22534.0,22419.0,22551.0,22419.0,8.79784948
398,2022-06-14 15:16:00,22431.0,22383.30261361,22453.0,22378.0,6.08855495
